starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	6
Sat Apr 06 00:47:27 2024	1712353647	0	7	7	6
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	6
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	6
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	6
Sat Apr 06 00:47:27 2024	1712353647	2	6	7	5
Sat Apr 06 00:47:27 2024	1712353647	2	5	7	5
Sat Apr 06 00:47:27 2024	1712353647	0	7	7	6
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	6
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	5
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	6
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	6
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	5
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	6
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	6
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	6
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	6
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	5
Sat Apr 06 00:47:27 2024	1712353647	0	7	7	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	7	7
Sat Apr 06 00:47:27 2024	1712353647	0	7	7	7
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	6
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	6
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	6
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	5
Sat Apr 06 00:47:27 2024	1712353647	0	7	7	7
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	6
Sat Apr 06 00:47:27 2024	1712353647	1	7	7	7
Sat Apr 06 00:47:27 2024	1712353647	1	6	7	6
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	0	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	0	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	0	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	6	8	6
Sat Apr 06 00:47:27 2024	1712353647	1	6	8	6
Sat Apr 06 00:47:27 2024	1712353647	5	3	8	3
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	2	6	8	6
Sat Apr 06 00:47:27 2024	1712353647	0	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	0	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	2	6	8	5
Sat Apr 06 00:47:27 2024	1712353647	2	6	8	6
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	5
Sat Apr 06 00:47:27 2024	1712353647	0	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	0	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	0	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	6	8	6
