starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 06 01:21:55 2024	1712355715	0	22	22	22
Sat Apr 06 01:21:55 2024	1712355715	1	21	22	20
Sat Apr 06 01:21:55 2024	1712355715	0	21	22	21
Sat Apr 06 01:21:55 2024	1712355715	2	20	22	20
Sat Apr 06 01:21:55 2024	1712355715	0	22	22	22
Sat Apr 06 01:21:55 2024	1712355715	0	22	22	22
Sat Apr 06 01:21:54 2024	1712355714	2	20	22	20
Sat Apr 06 01:21:55 2024	1712355715	0	22	22	22
Sat Apr 06 01:21:55 2024	1712355715	3	20	22	19
Sat Apr 06 01:21:55 2024	1712355715	0	22	22	22
Sat Apr 06 01:21:55 2024	1712355715	0	22	22	22
Sat Apr 06 01:21:55 2024	1712355715	5	18	23	17
Sat Apr 06 01:21:54 2024	1712355714	6	17	23	17
Sat Apr 06 01:21:55 2024	1712355715	0	22	23	22
Sat Apr 06 01:21:55 2024	1712355715	1	22	23	22
Sat Apr 06 01:21:55 2024	1712355715	0	22	23	22
Sat Apr 06 01:21:55 2024	1712355715	2	20	23	18
Sat Apr 06 01:21:55 2024	1712355715	2	21	23	21
Sat Apr 06 01:21:55 2024	1712355715	1	22	23	22
Sat Apr 06 01:21:54 2024	1712355714	2	21	23	21
Sat Apr 06 01:21:55 2024	1712355715	0	23	23	23
Sat Apr 06 01:21:54 2024	1712355714	2	21	23	21
Sat Apr 06 01:21:55 2024	1712355715	3	21	23	19
Sat Apr 06 01:21:55 2024	1712355715	1	22	23	22
Sat Apr 06 01:21:55 2024	1712355715	2	22	23	21
Sat Apr 06 01:21:55 2024	1712355715	1	22	23	22
Sat Apr 06 01:21:55 2024	1712355715	2	21	23	20
Sat Apr 06 01:21:54 2024	1712355714	1	23	23	22
Sat Apr 06 01:21:55 2024	1712355715	1	23	23	22
Sat Apr 06 01:21:55 2024	1712355715	3	20	24	20
Sat Apr 06 01:21:55 2024	1712355715	1	23	24	22
Sat Apr 06 01:21:55 2024	1712355715	0	23	24	23
Sat Apr 06 01:21:55 2024	1712355715	1	22	24	22
Sat Apr 06 01:21:54 2024	1712355714	1	22	24	22
Sat Apr 06 01:21:55 2024	1712355715	1	22	24	22
Sat Apr 06 01:21:55 2024	1712355715	3	21	24	21
Sat Apr 06 01:21:55 2024	1712355715	2	22	24	22
Sat Apr 06 01:21:54 2024	1712355714	1	23	24	23
Sat Apr 06 01:21:55 2024	1712355715	1	23	24	23
Sat Apr 06 01:21:54 2024	1712355714	1	23	24	22
Sat Apr 06 01:21:55 2024	1712355715	3	21	24	19
Sat Apr 06 01:21:54 2024	1712355714	3	21	24	21
Sat Apr 06 01:21:55 2024	1712355715	1	24	24	24
Sat Apr 06 01:21:54 2024	1712355714	2	22	24	22
Sat Apr 06 01:21:55 2024	1712355715	0	24	24	24
Sat Apr 06 01:21:55 2024	1712355715	4	20	24	20
Sat Apr 06 01:21:55 2024	1712355715	1	23	24	23
Sat Apr 06 01:21:55 2024	1712355715	2	22	24	22
Sat Apr 06 01:21:55 2024	1712355715	4	20	24	20
Sat Apr 06 01:21:55 2024	1712355715	2	22	24	22
Sat Apr 06 01:21:54 2024	1712355714	2	23	24	23
Sat Apr 06 01:21:55 2024	1712355715	1	23	24	23
Sat Apr 06 01:21:55 2024	1712355715	2	23	24	23
Sat Apr 06 01:21:55 2024	1712355715	2	23	25	23
Sat Apr 06 01:21:54 2024	1712355714	6	19	25	19
Sat Apr 06 01:21:54 2024	1712355714	2	23	25	23
Sat Apr 06 01:21:54 2024	1712355714	1	23	25	23
Sat Apr 06 01:21:55 2024	1712355715	1	24	25	23
Sat Apr 06 01:21:55 2024	1712355715	3	22	25	22
Sat Apr 06 01:21:55 2024	1712355715	2	23	25	22
Sat Apr 06 01:21:55 2024	1712355715	1	24	25	23
Sat Apr 06 01:21:55 2024	1712355715	2	23	25	22
Sat Apr 06 01:21:54 2024	1712355714	2	23	25	23
Sat Apr 06 01:21:54 2024	1712355714	1	23	25	23
Sat Apr 06 01:21:55 2024	1712355715	0	25	25	24
Sat Apr 06 01:21:55 2024	1712355715	1	24	25	24
Sat Apr 06 01:21:54 2024	1712355714	2	23	25	23
Sat Apr 06 01:21:55 2024	1712355715	2	23	25	22
Sat Apr 06 01:21:55 2024	1712355715	2	23	25	22
Sat Apr 06 01:21:55 2024	1712355715	0	25	25	24
Sat Apr 06 01:21:55 2024	1712355715	2	23	25	22
Sat Apr 06 01:21:55 2024	1712355715	1	24	25	24
Sat Apr 06 01:21:55 2024	1712355715	3	22	25	22
Sat Apr 06 01:21:55 2024	1712355715	4	21	25	20
Sat Apr 06 01:21:55 2024	1712355715	2	23	25	22
Sat Apr 06 01:21:54 2024	1712355714	2	23	25	23
Sat Apr 06 01:21:55 2024	1712355715	0	25	25	24
Sat Apr 06 01:21:55 2024	1712355715	1	24	25	24
Sat Apr 06 01:21:55 2024	1712355715	4	21	25	21
Sat Apr 06 01:21:54 2024	1712355714	1	24	25	23
Sat Apr 06 01:21:54 2024	1712355714	0	25	25	25
Sat Apr 06 01:21:55 2024	1712355715	3	22	25	22
Sat Apr 06 01:21:54 2024	1712355714	2	23	25	23
Sat Apr 06 01:21:55 2024	1712355715	0	25	25	25
Sat Apr 06 01:21:55 2024	1712355715	4	22	25	20
Sat Apr 06 01:21:55 2024	1712355715	4	22	25	20
Sat Apr 06 01:21:55 2024	1712355715	1	24	26	23
Sat Apr 06 01:21:55 2024	1712355715	1	25	26	24
Sat Apr 06 01:21:54 2024	1712355714	1	24	26	24
Sat Apr 06 01:21:54 2024	1712355714	1	24	26	24
Sat Apr 06 01:21:55 2024	1712355715	4	22	26	21
Sat Apr 06 01:21:54 2024	1712355714	0	25	26	25
Sat Apr 06 01:21:55 2024	1712355715	3	23	26	22
Sat Apr 06 01:21:54 2024	1712355714	1	24	26	24
Sat Apr 06 01:21:54 2024	1712355714	1	25	26	24
Sat Apr 06 01:21:55 2024	1712355715	1	25	26	25
Sat Apr 06 01:21:54 2024	1712355714	2	24	26	24
Sat Apr 06 01:21:55 2024	1712355715	1	25	26	24
Sat Apr 06 01:21:55 2024	1712355715	1	25	26	25
Sat Apr 06 01:21:55 2024	1712355715	1	25	26	25
Sat Apr 06 01:21:55 2024	1712355715	4	22	26	20
Sat Apr 06 01:21:55 2024	1712355715	1	25	26	25
Sat Apr 06 01:21:55 2024	1712355715	3	23	26	22
Sat Apr 06 01:21:55 2024	1712355715	4	22	26	20
Sat Apr 06 01:21:55 2024	1712355715	1	25	26	25
Sat Apr 06 01:21:55 2024	1712355715	1	25	26	25
Sat Apr 06 01:21:55 2024	1712355715	1	25	26	25
Sat Apr 06 01:21:55 2024	1712355715	1	25	26	24
Sat Apr 06 01:21:55 2024	1712355715	2	24	26	23
Sat Apr 06 01:21:55 2024	1712355715	1	26	26	25
Sat Apr 06 01:21:55 2024	1712355715	4	22	26	20
Sat Apr 06 01:21:55 2024	1712355715	2	25	26	24
Sat Apr 06 01:21:55 2024	1712355715	2	25	26	24
Sat Apr 06 01:21:54 2024	1712355714	0	26	26	25
Sat Apr 06 01:21:54 2024	1712355714	0	26	26	26
Sat Apr 06 01:21:55 2024	1712355715	1	25	26	25
Sat Apr 06 01:21:55 2024	1712355715	4	22	26	22
Sat Apr 06 01:21:55 2024	1712355715	2	25	26	24
Sat Apr 06 01:21:55 2024	1712355715	0	26	26	26
Sat Apr 06 01:21:55 2024	1712355715	1	25	26	25
Sat Apr 06 01:21:54 2024	1712355714	1	26	26	26
Sat Apr 06 01:21:54 2024	1712355714	2	25	26	24
Sat Apr 06 01:21:55 2024	1712355715	2	25	26	24
Sat Apr 06 01:21:55 2024	1712355715	3	23	26	23
Sat Apr 06 01:21:54 2024	1712355714	2	24	26	24
Sat Apr 06 01:21:54 2024	1712355714	1	25	26	25
Sat Apr 06 01:21:54 2024	1712355714	0	26	26	26
Sat Apr 06 01:21:55 2024	1712355715	4	22	26	22
Sat Apr 06 01:21:55 2024	1712355715	0	26	26	26
Sat Apr 06 01:21:54 2024	1712355714	3	24	26	24
Sat Apr 06 01:21:54 2024	1712355714	0	26	27	26
Sat Apr 06 01:21:54 2024	1712355714	2	25	27	25
Sat Apr 06 01:21:55 2024	1712355715	0	26	27	26
Sat Apr 06 01:21:55 2024	1712355715	4	23	27	23
Sat Apr 06 01:21:54 2024	1712355714	2	25	27	24
Sat Apr 06 01:21:55 2024	1712355715	1	25	27	25
Sat Apr 06 01:21:54 2024	1712355714	1	26	27	26
Sat Apr 06 01:21:55 2024	1712355715	1	26	27	25
Sat Apr 06 01:21:55 2024	1712355715	1	25	27	25
Sat Apr 06 01:21:55 2024	1712355715	1	26	27	25
Sat Apr 06 01:21:54 2024	1712355714	2	25	27	25
Sat Apr 06 01:21:55 2024	1712355715	1	25	27	25
Sat Apr 06 01:21:55 2024	1712355715	1	26	27	26
Sat Apr 06 01:21:54 2024	1712355714	2	25	27	24
Sat Apr 06 01:21:55 2024	1712355715	2	25	27	25
Sat Apr 06 01:21:55 2024	1712355715	1	26	27	26
Sat Apr 06 01:21:55 2024	1712355715	1	25	27	25
Sat Apr 06 01:21:55 2024	1712355715	1	25	27	25
Sat Apr 06 01:21:55 2024	1712355715	1	25	27	25
Sat Apr 06 01:21:55 2024	1712355715	1	26	27	25
Sat Apr 06 01:21:55 2024	1712355715	0	27	27	26
Sat Apr 06 01:21:55 2024	1712355715	3	24	27	22
Sat Apr 06 01:21:55 2024	1712355715	0	27	27	27
Sat Apr 06 01:21:54 2024	1712355714	1	26	27	26
Sat Apr 06 01:21:54 2024	1712355714	1	26	27	26
Sat Apr 06 01:21:55 2024	1712355715	4	23	27	23
Sat Apr 06 01:21:55 2024	1712355715	1	26	27	26
Sat Apr 06 01:21:55 2024	1712355715	1	26	27	26
Sat Apr 06 01:21:55 2024	1712355715	1	26	27	25
Sat Apr 06 01:21:55 2024	1712355715	1	26	27	25
Sat Apr 06 01:21:55 2024	1712355715	5	22	27	22
Sat Apr 06 01:21:55 2024	1712355715	5	23	27	22
Sat Apr 06 01:21:55 2024	1712355715	4	24	27	22
Sat Apr 06 01:21:54 2024	1712355714	1	27	27	26
Sat Apr 06 01:21:55 2024	1712355715	2	25	27	24
Sat Apr 06 01:21:54 2024	1712355714	0	27	27	27
Sat Apr 06 01:21:54 2024	1712355714	2	25	27	24
Sat Apr 06 01:21:55 2024	1712355715	4	23	27	22
Sat Apr 06 01:21:55 2024	1712355715	2	25	27	25
Sat Apr 06 01:21:55 2024	1712355715	2	25	27	25
Sat Apr 06 01:21:55 2024	1712355715	1	26	27	26
Sat Apr 06 01:21:55 2024	1712355715	2	25	27	25
Sat Apr 06 01:21:54 2024	1712355714	1	26	27	26
Sat Apr 06 01:21:55 2024	1712355715	1	27	27	26
Sat Apr 06 01:21:55 2024	1712355715	1	26	27	25
Sat Apr 06 01:21:55 2024	1712355715	0	27	27	27
Sat Apr 06 01:21:55 2024	1712355715	1	27	27	26
Sat Apr 06 01:21:55 2024	1712355715	2	25	27	25
Sat Apr 06 01:21:55 2024	1712355715	2	25	28	25
Sat Apr 06 01:21:55 2024	1712355715	2	25	28	25
Sat Apr 06 01:21:55 2024	1712355715	4	23	28	22
Sat Apr 06 01:21:55 2024	1712355715	2	25	28	25
Sat Apr 06 01:21:55 2024	1712355715	1	27	28	27
Sat Apr 06 01:21:55 2024	1712355715	2	25	28	23
Sat Apr 06 01:21:55 2024	1712355715	0	27	28	26
Sat Apr 06 01:21:54 2024	1712355714	0	27	28	27
Sat Apr 06 01:21:54 2024	1712355714	3	24	28	23
Sat Apr 06 01:21:55 2024	1712355715	0	27	28	27
Sat Apr 06 01:21:55 2024	1712355715	0	27	28	27
Sat Apr 06 01:21:54 2024	1712355714	0	27	28	27
Sat Apr 06 01:21:55 2024	1712355715	1	27	28	26
Sat Apr 06 01:21:54 2024	1712355714	0	27	28	27
Sat Apr 06 01:21:54 2024	1712355714	1	27	28	27
Sat Apr 06 01:21:55 2024	1712355715	3	25	28	24
